calculation_id,interval,metric,formula_or_method,result,source,validation_status,limitations
ml-15m-accuracy,15m,accuracy,untouched final 20% time-series test set,0.14703338082637898,Binance Spot BTCUSDT 15m,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
ml-pool-4h-auc,4h,walk_forward_auc,causal expanding-window model pool with prior calibration only,0.5084688172119526,Binance Futures UM archive 2021-2026,watch_only,Does not exceed 0.52 approval threshold
ml-pool-4h-signals,4h,nonoverlapping_signals,signals selected only by prior calibration window,115,Binance Futures UM archive 2021-2026,verified,Model remains research only
ml-pool-4h-hit-rate,4h,directional_hit_rate,profitable events divided by selected nonoverlapping signals,0.43478260869565216,Binance Futures UM archive 2021-2026,watch_only,Hit rate alone does not measure expectancy
ml-pool-4h-mean-return,4h,mean_return_after_cost,mean directional event return minus 0.0008 round trip cost,-0.0003940493295762032,Binance Futures UM archive 2021-2026,watch_only,Negative after assumed transaction cost
ml-pool-4h-profit-factor,4h,profit_factor,sum positive returns divided by absolute sum negative returns,0.9579654081559046,Binance Futures UM archive 2021-2026,watch_only,Below 1.15 approval threshold
ml-rule-4h-profit-factor,4h,raw_rule_profit_factor,all candidate events with nonoverlapping execution,0.8007926422451401,Binance Futures UM archive 2021-2026,watch_only,Rule baseline is negative after costs
ml-forward-4h-signals,4h,forward_resolved_signals,frozen model predictions after model cutoff,3,Binance Futures UM archive after 2026-07-15,watch_only,Minimum requirement is 40 resolved signals
ml-forward-4h-hit-rate,4h,forward_hit_rate,profitable forward signals divided by resolved forward signals,0.0,Binance Futures UM archive after 2026-07-15,watch_only,Only three observations
ml-forward-4h-mean-return,4h,forward_mean_return_after_cost,mean frozen-model event return minus 0.0008 round trip cost,-0.010147953707560031,Binance Futures UM archive after 2026-07-15,watch_only,Only three observations and all lost
ml-15m-macro_f1,15m,macro_f1,untouched final 20% time-series test set,0.15526688348201595,Binance Spot BTCUSDT 15m,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
ml-15m-directional_hit_rate,15m,directional_hit_rate,untouched final 20% time-series test set,0.5061885115836242,Binance Spot BTCUSDT 15m,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
ml-15m-coverage,15m,coverage,untouched final 20% time-series test set,0.24050987176877672,Binance Spot BTCUSDT 15m,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
ml-15m-directional_signals,15m,directional_signals,untouched final 20% time-series test set,9453,Binance Spot BTCUSDT 15m,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
ml-15m-majority_accuracy,15m,majority_accuracy,untouched final 20% time-series test set,0.4992367189090169,Binance Spot BTCUSDT 15m,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
ml-1h-accuracy,1h,accuracy,untouched final 20% time-series test set,0.18297915815284022,Binance Spot BTCUSDT 1h,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
ml-1h-macro_f1,1h,macro_f1,untouched final 20% time-series test set,0.1869808634401174,Binance Spot BTCUSDT 1h,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
ml-1h-directional_hit_rate,1h,directional_hit_rate,untouched final 20% time-series test set,0.5045075125208681,Binance Spot BTCUSDT 1h,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
ml-1h-coverage,1h,coverage,untouched final 20% time-series test set,0.3059869227625664,Binance Spot BTCUSDT 1h,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
ml-1h-directional_signals,1h,directional_signals,untouched final 20% time-series test set,2995,Binance Spot BTCUSDT 1h,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
ml-1h-majority_accuracy,1h,majority_accuracy,untouched final 20% time-series test set,0.48447078054760934,Binance Spot BTCUSDT 1h,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
ml-4h-accuracy,4h,accuracy,untouched final 20% time-series test set,0.20852296235002069,Binance Spot BTCUSDT 4h,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
ml-4h-macro_f1,4h,macro_f1,untouched final 20% time-series test set,0.19371852972749762,Binance Spot BTCUSDT 4h,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
ml-4h-directional_hit_rate,4h,directional_hit_rate,untouched final 20% time-series test set,0.46833013435700577,Binance Spot BTCUSDT 4h,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
ml-4h-coverage,4h,coverage,untouched final 20% time-series test set,0.4311129499379396,Binance Spot BTCUSDT 4h,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
ml-4h-directional_signals,4h,directional_signals,untouched final 20% time-series test set,1042,Binance Spot BTCUSDT 4h,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
ml-4h-majority_accuracy,4h,majority_accuracy,untouched final 20% time-series test set,0.5010343400910219,Binance Spot BTCUSDT 4h,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
ml-1d-accuracy,1d,accuracy,untouched final 20% time-series test set,0.3797814207650273,Binance Spot BTCUSDT 1d,watch_only,Spot data; transaction costs and regime shifts may reduce live performance
